date, pm25, pm10, o3, no2, so2, co
01-02-22,68,31,9,4, , 
02-02-22,58,35,10,6, , 
03-02-22,66,37,15,11, , 
04-02-22,73,48,17,15,1, 
05-02-22,94,54,21,13,1, 
06-02-22,112,71,26,20,1, 
07-02-22,147,66,24,19,1, 
08-02-22,145,44,14,7, , 
09-02-22,95, , , , , 
03-01-22,82,51,18,13, , 
04-01-22,101,59,21,21,1, 
05-01-22,112,56,23,23,1, 
06-01-22,113,64,20,21,1, 
07-01-22,129,58,19,20,1, 
08-01-22,103,56,20,19,1, 
09-01-22,117,76,23,22,1, 
10-01-22,117,61,21,20,1, 
11-01-22,104,52,19,13, , 
12-01-22,99,49,22,12, , 
13-01-22,94,46,21,12, , 
14-01-22,85,48,25,12, , 
15-01-22,94,52,23,10,1, 
16-01-22,101,58,20,19, , 
17-01-22,120,59,18,17,1, 
18-01-22,110,48,19,15, , 
19-01-22,85,55,25,16, , 
20-01-22,102,35,12,6, , 
21-01-22,67,26,7,6, , 
22-01-22,57,24,15,6, , 
23-01-22,64,28,15,10, , 
24-01-22,74,31,19,16, , 
25-01-22,82,32,14,7, , 
26-01-22,81,37,12,11, , 
27-01-22,87,46,11,7, , 
28-01-22,83,41,16,7, , 
29-01-22,86,36,12,5, , 
30-01-22,78,36,9,3, , 
31-01-22,76,35,10,3, , 
01-10-21,58,24,11,6,1, 
02-10-21,57,36,18,7,1, 
03-10-21,72,33,17,10,1, 
04-10-21,73,43,19,11,2, 
05-10-21,83,26,14,7, , 
06-10-21,64,34,11,10,1, 
07-10-21,69,51,20,12,1, 
08-10-21,100,25,5,5, , 
09-10-21,54,22,12,3, , 
10-10-21,48,22,8,4, , 
11-10-21,43,21,7,4, , 
12-10-21,47,19,13,2, , 
13-10-21,39,23,8,5, , 
14-10-21,49,25,5,7, , 
15-10-21,57,31,6,4, , 
16-10-21,57,17,6,6, , 
17-10-21,38,23,8,9, , 
18-10-21,48,38,9,11,1, 
19-10-21,72,45,20,11, , 
20-10-21,87,50,21,13,1, 
21-10-21,97,37,15,11,1, 
22-10-21,75,29,9,5, , 
23-10-21,58,28,17,5, , 
24-10-21,56,30,20,6, , 
25-10-21,64,40,26,6, , 
26-10-21,80,46,25,8,1, 
27-10-21,86,50,10,9,1, 
28-10-21,92,35,17,8, , 
29-10-21,76,45,13,10, , 
30-10-21,90,28,9,7, , 
31-10-21,61,31,11,6, , 
01-11-21,62,36,8,7, , 
02-11-21,69,35,11,7, , 
03-11-21,66,39,13,7, , 
04-11-21,67,34,13,9, , 
05-11-21,71,43,12,10, , 
06-11-21,81,31,13,7, , 
07-11-21,72,39,7,8, , 
08-11-21,71,35,11,7, , 
09-11-21,61,39,18,8, , 
10-11-21,74,52,22,7, , 
11-11-21,88,48,20,9, , 
12-11-21,81,45,14,9, , 
13-11-21,84,44,17,6, , 
14-11-21,90,45,18,8,1, 
15-11-21,92,33,11,8, , 
16-11-21,69,26,14,7, , 
17-11-21,55,30,9,6, , 
18-11-21,63,35,19,9, , 
19-11-21,70,39,18,9, , 
20-11-21,79,40,23,11, , 
21-11-21,79,41,8,14, , 
22-11-21,83,30,5,7, , 
23-11-21,58,32,14,9, , 
24-11-21,59,45,22,12,1, 
25-11-21,81,50,21,12, , 
26-11-21,89,43,20,8, , 
27-11-21,88,51,24,7, , 
28-11-21,96,44,20,7, , 
29-11-21,87,50,16,9, , 
30-11-21,94,54,16,9, , 
01-12-21,105,55,19,8, , 
02-12-21,105,56,24,15, , 
03-12-21,102,56,24,12, , 
04-12-21,103,59,24,8, , 
05-12-21,109,58,25,11, , 
06-12-21,111,64,13,16, , 
07-12-21,126,61,18,14,1, 
08-12-21,122,55,21,14, , 
09-12-21,100,54,20,15, , 
10-12-21,96,54,29,15, , 
11-12-21,98,47,23,10, , 
12-12-21,81,43,19,6, , 
13-12-21,79,65,23,14,1, 
14-12-21,123,63,29,16,1, 
15-12-21,129,62,29,12, , 
16-12-21,131,57,17,12,1, 
17-12-21,117,48,18,6, , 
18-12-21,90,43,21,8, , 
19-12-21,87,61,24,12, , 
20-12-21,128,75,27,16,1, 
21-12-21,159,79,31,20,1, 
22-12-21,166,74,23,24,1, 
23-12-21,146,65,18,15, , 
24-12-21,131,39,14,8, , 
25-12-21,78,37,13,8, , 
26-12-21,74,49,12,17, , 
27-12-21,89,35,18,8, , 
28-12-21,62,35,18,7, , 
29-12-21,64,35,16,8, , 
30-12-21,70,37,18,8, , 
31-12-21,69,34,18,7, , 
01-01-22,75,35,22,6, , 
02-01-22,75,40,17,8, , 
01-07-21,47,26,15,10,1, 
02-07-21,44,25,11,5, , 
03-07-21,47,19,14,3, , 
04-07-21,42,25,12,3, , 
05-07-21,41,39,9,4, , 
06-07-21,43,40,8,4,1, 
07-07-21,42,46,10,4,1, 
08-07-21,51,28,6,7, , 
09-07-21,48,20,4,6, , 
10-07-21,47,15,6,4, , 
11-07-21,34,17,7,5,1, 
12-07-21,33,25,13,5, , 
13-07-21,54,33,5,8, , 
14-07-21,67,24,6,4, , 
15-07-21,53,24,7,5,1, 
16-07-21,50,23,11,4,1, 
17-07-21,54,20,7,2,1, 
18-07-21,43,17,7,3,1, 
19-07-21,31,17,7,3, , 
20-07-21,35,18,6,2,1, 
21-07-21,36,30,6,2, , 
22-07-21,55,25,6,4,2, 
23-07-21,51,30,3,4,3, 
24-07-21,56,21,4,3,7, 
25-07-21,44,22,7,4, , 
26-07-21,48,21,8,3,4, 
27-07-21,40,22,5,4,6, 
28-07-21,45,23,9,3,4, 
29-07-21,44,26,9,4,3, 
30-07-21,53,30,7,3,1, 
31-07-21,61,24,7,3,5, 
01-08-21,52,23,8,3,3, 
02-08-21,42,20,7,3,1, 
03-08-21,40,25,11,2,1, 
04-08-21,52,29,10,2,3, 
05-08-21,60,24,12,2, , 
06-08-21,53,26,13,2,1, 
07-08-21,54,28,15,1,1, 
08-08-21,57,29,15,1,1, 
09-08-21,56,29,8,2, , 
10-08-21,56,21,4,3,1, 
11-08-21,42,18,5,2, , 
12-08-21,33,18,7,4,1, 
13-08-21,37,23,4,4,1, 
